#,"De que curso você é aluno?","Você é...","Você já cursou, está cursando ou não cursou FPCC 2?","Em quantos repositórios de software você lembra ter contribuído nos últimos 2 anos?","Em quantas linguagens de programação você se considera fluente?","Qual seu nível de confiança hoje no uso de métodos estatísticos para analisar o resultado de um experimento?","Em quantos projetos de pesquisa você lembra ter participado?","Qual a sua altura em centímetros?","O quanto você gosta de formulários online? (Obrigado por ter respondido este!)","Start Date (UTC)","Submit Date (UTC)","Network ID"
deb8cd12cf2a3da11b0a2441a54da16b,Mestrado,Homem,"Já cursei",2,1,7,1,163,3,"2016-03-08 13:26:11","2016-03-08 13:30:32",70ab0eb47b
a978b4214c5c245c8a72f6c8ada34a6e,Doutorado,Mulher,"Já cursei",3,6,8,3,163,5,"2016-03-08 13:31:57","2016-03-08 13:33:15",2fe6298172
48e15e7cd0ce86980dd707aaaa3148d0,Mestrado,Homem,"Já cursei",2,5,8,3,170,4,"2016-03-08 13:31:38","2016-03-08 13:33:33",b1dbfe0b41
e2965fe9e729ccc3bd769b4c098ebe69,Mestrado,Mulher,"Já cursei",1,2,8,4,154,4,"2016-03-08 13:34:18","2016-03-08 13:36:23",670c060362
a6f38d7139e1644913c3ac985dc2623d,Mestrado,Homem,"Já cursei",2,3,9,3,167,4,"2016-03-08 13:35:34","2016-03-08 13:36:55",2cbfb710bb
d37f1b4c9138bcfeb045ce0308cf72be,Doutorado,Homem,"Já cursei",3,3,7,4,175,3,"2016-03-08 13:38:57","2016-03-08 13:40:47",b48c12f305
d733c8a07e5b8082bf7056b159de5fd6,Doutorado,Homem,"Já cursei",0,2,7,2,175,3,"2016-03-08 13:47:38","2016-03-08 13:49:20",431a1c9675
1008280d536bb0434bc36c3208063f83,Doutorado,Mulher,"Já cursei",2,2,7,3,176,4,"2016-03-08 14:07:48","2016-03-08 14:10:40",1b97d677d2
66cf5ca8a93fc27596c0bfc09944cb04,Mestrado,Homem,"Já cursei",0,4,3,2,187,2,"2016-03-08 14:57:46","2016-03-08 14:59:45",c5caf2c3a2
c9aa0e3829e5c714bfe24707c2f8af44,Mestrado,Mulher,"Já cursei",1,2,5,1,160,4,"2016-03-08 16:29:46","2016-03-08 16:31:38",ade2022b25
6b90faf119d91a01d0057358bdfe0b19,Mestrado,Homem,"Estou cursando em 2016",2,2,6,3,180,4,"2016-03-08 16:30:14","2016-03-08 16:32:54",1c1276e490
8b337947dbdb504daf4c32cce7628a63,Mestrado,Homem,"Estou cursando em 2016",2,2,4,5,177,5,"2016-03-08 16:33:41","2016-03-08 16:34:35",9d12746ac8
dfaa8a95eabf0d8eaf41ed618c7d8c14,Mestrado,Mulher,"Já cursei",1,2,5,5,165,5,"2016-03-08 16:35:21","2016-03-08 16:36:42",163485d657
